ORDER NUMBER,QUANTITY ORDERED,PRICE EACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,DEALSIZE
10107,30,$95.70,"$2,871.00",02/24/03,Shipped,1,2,2003,Motorcycles,95,S10_1678,NYC,NY,10022,USA,NA,Small
10121,34,$81.35,"$2,765.90",05/07/03,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims,,51100,France,EMEA,Small
10134,41,$94.74,"$3,884.34",07/01/03,Shipped,3,7,2003,Motorcycles,95,S10_1678,Paris,,75508,France,EMEA,Medium
10145,45,$83.26,"$3,746.70",08/25/03,Shipped,3,8,2003,Motorcycles,95,S10_1678,Pasadena,CA,90003,USA,NA,Medium
10159,49,$100.00,"$5,205.27",10/10/03,Shipped,4,10,2003,Motorcycles,95,S10_1678,San Francisco,CA,,USA,NA,Medium
10168,36,$96.66,"$3,479.76",10/28/03,Shipped,4,10,2003,Motorcycles,95,S10_1678,Burlingame,CA,94217,USA,NA,Medium
10180,29,$86.13,"$2,497.77",11/11/03,Shipped,4,11,2003,Motorcycles,95,S10_1678,Lille,,59000,France,EMEA,Small
10188,48,$100.00,"$5,512.32",11/18/03,Shipped,4,11,2003,Motorcycles,95,S10_1678,Bergen,,N 5804,Norway,EMEA,Medium
10201,22,$98.57,"$2,168.54",12/01/03,Shipped,4,12,2003,Motorcycles,95,S10_1678,San Francisco,CA,,USA,NA,Small
10211,41,$100.00,"$4,708.44",01/15/04,Shipped,1,1,2004,Motorcycles,95,S10_1678,Paris,,75016,France,EMEA,Medium
10223,37,$100.00,"$3,965.66",02/20/04,Shipped,1,2,2004,Motorcycles,95,S10_1678,Melbourne,Victoria,3004,Australia,APAC,Medium
10237,23,$100.00,"$2,333.12",04/05/04,Shipped,2,4,2004,Motorcycles,95,S10_1678,NYC,NY,10022,USA,NA,Small
10251,28,$100.00,"$3,188.64",05/18/04,Shipped,2,5,2004,Motorcycles,95,S10_1678,Newark,NJ,94019,USA,NA,Medium
10263,34,$100.00,"$3,676.76",06/28/04,Shipped,2,6,2004,Motorcycles,95,S10_1678,Bridgewater,CT,97562,USA,NA,Medium
10275,45,$92.83,"$4,177.35",07/23/04,Shipped,3,7,2004,Motorcycles,95,S10_1678,Nantes,,44000,France,EMEA,Medium
10285,36,$100.00,"$4,099.68",08/27/04,Shipped,3,8,2004,Motorcycles,95,S10_1678,Cambridge,MA,51247,USA,NA,Medium
10299,23,$100.00,"$2,597.39",09/30/04,Shipped,3,9,2004,Motorcycles,95,S10_1678,Helsinki,,21240,Finland,EMEA,Small
10309,41,$100.00,"$4,394.38",10/15/04,Shipped,4,10,2004,Motorcycles,95,S10_1678,Stavern,,4110,Norway,EMEA,Medium
10318,46,$94.74,"$4,358.04",11/02/04,Shipped,4,11,2004,Motorcycles,95,S10_1678,Allentown,PA,70267,USA,NA,Medium
10329,42,$100.00,"$4,396.14",11/15/04,Shipped,4,11,2004,Motorcycles,95,S10_1678,NYC,NY,10022,USA,NA,Medium
10341,41,$100.00,"$7,737.93",11/24/04,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg,,5020,Austria,EMEA,Large
10361,20,$72.55,"$1,451.00",12/17/04,Shipped,4,12,2004,Motorcycles,95,S10_1678,Chatswood,NSW,2067,Australia,APAC,Small
10375,21,$34.91,$733.11,02/03/05,Shipped,1,2,2005,Motorcycles,95,S10_1678,Nantes,,44000,France,EMEA,Small
10388,42,$76.36,"$3,207.12",03/03/05,Shipped,1,3,2005,Motorcycles,95,S10_1678,New Bedford,MA,50553,USA,NA,Medium
10403,24,$100.00,"$2,434.56",04/08/05,Shipped,2,4,2005,Motorcycles,95,S10_1678,Liverpool,,WX1 6LT,UK,EMEA,Small
10417,66,$100.00,"$7,516.08",05/13/05,Disputed,2,5,2005,Motorcycles,95,S10_1678,Madrid,,28034,Spain,EMEA,Large
10103,26,$100.00,"$5,404.62",01/29/03,Shipped,1,1,2003,Classic Cars,214,S10_1949,Stavern,,4110,Norway,EMEA,Medium
10112,29,$100.00,"$7,209.11",03/24/03,Shipped,1,3,2003,Classic Cars,214,S10_1949,Lule,,S-958 22,Sweden,EMEA,Large
10126,38,$100.00,"$7,329.06",05/28/03,Shipped,2,5,2003,Classic Cars,214,S10_1949,Madrid,,28023,Spain,EMEA,Large
10140,37,$100.00,"$7,374.10",07/24/03,Shipped,3,7,2003,Classic Cars,214,S10_1949,Burlingame,CA,94217,USA,NA,Large
10150,45,$100.00,"$10,993.50",09/19/03,Shipped,3,9,2003,Classic Cars,214,S10_1949,Singapore,,79903,Singapore,Japan,Large
10163,21,$100.00,"$4,860.24",10/20/03,Shipped,4,10,2003,Classic Cars,214,S10_1949,NYC,NY,10022,USA,NA,Medium
10174,34,$100.00,"$8,014.82",11/06/03,Shipped,4,11,2003,Classic Cars,214,S10_1949,South Brisbane,Queensland,4101,Australia,APAC,Large
10183,23,$100.00,"$5,372.57",11/13/03,Shipped,4,11,2003,Classic Cars,214,S10_1949,Philadelphia,PA,71270,USA,NA,Medium
10194,42,$100.00,"$7,290.36",11/25/03,Shipped,4,11,2003,Classic Cars,214,S10_1949,Lyon,,69004,France,EMEA,Large
10206,47,$100.00,"$9,064.89",12/05/03,Shipped,4,12,2003,Classic Cars,214,S10_1949,Vancouver,BC,V3F 2K1,Canada,NA,Large
10215,35,$100.00,"$6,075.30",01/29/04,Shipped,1,1,2004,Classic Cars,214,S10_1949,Burbank,CA,94019,USA,NA,Medium
10228,29,$100.00,"$6,463.23",03/10/04,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge,MA,51247,USA,NA,Medium
10245,34,$100.00,"$6,120.34",05/04/04,Shipped,2,5,2004,Classic Cars,214,S10_1949,New Haven,CT,97823,USA,NA,Medium
